XP n°,Substrate,Organism,Enzyme,Yield,Unit,Incubation time (hrs),Pretreatment,Nutritive or inducing supplement,Enhancement or optimization method,Parameters,Notes,Date of publication,Reference
56,mixture (oat ; sugarcane bagasse),Ustilaginoidea sp. XYA 04,β-xylosidase,1.12,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10
57,mixture (wheat bran ; cottonseed meal),Botryosphaeria sp. AM 01,CMCase,251.12,U/gds,192,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5-6 ; MC=65% (w/v) ; Inoculum (6 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1. β-glucosidase yield value is approximate. Enzymes present stability for a wide range of pH and T° from 30 to 70°C.,2018,10
57,mixture (wheat bran ; cottonseed meal),Botryosphaeria sp. AM 01,β-glucosidase,75,U/gds,288,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5-6 ; MC=65% (w/v) ; Inoculum (6 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1. β-glucosidase yield value is approximate. Enzymes present stability for a wide range of pH and T° from 30 to 70°C.,2018,10
57,mixture (wheat bran ; cottonseed meal),Botryosphaeria sp. AM 01,xylanase,187.17,U/gds,192,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5-6 ; MC=65% (w/v) ; Inoculum (6 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1. β-glucosidase yield value is approximate. Enzymes present stability for a wide range of pH and T° from 30 to 70°C.,2018,10
57,mixture (wheat bran ; cottonseed meal),Botryosphaeria sp. AM 01,β-xylosidase,19.96,U/gds,288,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5-6 ; MC=65% (w/v) ; Inoculum (6 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1. β-glucosidase yield value is approximate. Enzymes present stability for a wide range of pH and T° from 30 to 70°C.,2018,10
58,mixture (wheat bran ; cottonseed meal),Saccharicola sp. EJC 04,CMCase,28.84,U/gds,96,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5-6 ; MC=65% (w/v) ; Inoculum (6 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1. Enzymes present stability for a wide range of pH and T° from 30 to 70°C.,2018,10
58,mixture (wheat bran ; cottonseed meal),Saccharicola sp. EJC 04,β-glucosidase,107.28,U/gds,192,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5-6 ; MC=65% (w/v) ; Inoculum (6 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1. Enzymes present stability for a wide range of pH and T° from 30 to 70°C.,2018,10
58,mixture (wheat bran ; cottonseed meal),Saccharicola sp. EJC 04,xylanase,25.47,U/gds,96,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5-6 ; MC=65% (w/v) ; Inoculum (6 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1. Enzymes present stability for a wide range of pH and T° from 30 to 70°C.,2018,10
58,mixture (wheat bran ; cottonseed meal),Saccharicola sp. EJC 04,β-xylosidase,3.19,U/gds,144,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5-6 ; MC=65% (w/v) ; Inoculum (6 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1. Enzymes present stability for a wide range of pH and T° from 30 to 70°C.,2018,10
59,barley,Monascus anka,glucoamylase,4.5,U/cm²,144,"Ground, mixed with deionized water, autoclaved, starch was gelatinized to form the culture plate.",None,None,Inoculum (1E2 spores/plate) ;T°=35°C.,"Experience realised on a solid-state plate. Yield values are measured per unit area of the plate, and are approximate.",2010,11
59,barley,Monascus anka,α-amylase,0.035,U/cm²,144,"Ground, mixed with deionized water, autoclaved, starch was gelatinized to form the culture plate.",None,None,Inoculum (1E2 spores/plate) ;T°=35°C.,"Experience realised on a solid-state plate. Yield values are measured per unit area of the plate, and are approximate.",2010,11
60,non-waxy rice,Monascus anka,glucoamylase,4.5,U/cm²,144,"Ground, mixed with deionized water, autoclaved, starch was gelatinized to form the culture plate.",None,None,Inoculum (1E2 spores/plate) ;T°=35°C.,"Experience realised on a solid-state plate. Yield values are measured per unit area of the plate, and are approximate.",2010,11
60,non-waxy rice,Monascus anka,α-amylase,0.035,U/cm²,144,"Ground, mixed with deionized water, autoclaved, starch was gelatinized to form the culture plate.",None,None,Inoculum (1E2 spores/plate) ;T°=35°C.,"Experience realised on a solid-state plate. Yield values are measured per unit area of the plate, and are approximate.",2010,11
61,waxy rice,Monascus anka,glucoamylase,5.4,U/cm²,144,"Ground, mixed with deionized water, autoclaved, starch was gelatinized to form the culture plate.",None,None,Inoculum (1E2 spores/plate) ;T°=35°C.,"Experience realised on a solid-state plate. Yield values are measured per unit area of the plate, and are approximate.",2010,11
61,waxy rice,Monascus anka,α-amylase,0.035,U/cm²,144,"Ground, mixed with deionized water, autoclaved, starch was gelatinized to form the culture plate.",None,None,Inoculum (1E2 spores/plate) ;T°=35°C.,"Experience realised on a solid-state plate. Yield values are measured per unit area of the plate, and are approximate.",2010,11
62,rice,Monascus anka,glucoamylase,22.5,U/g,216,"Ground, mixed with deionized water, autoclaved, starch was gelatinized to form the culture plate.",None,OFAT,Inoculum (1E2 spores/plate) ; T°=35°C for 168h ; then 25°C for 48h.,Experience realised on a solid-state plate. The enzyme produced have different temperature optimum. Reducing the T° during the last 48h permits to improve the α-amylase production without reducing the amount of glucoamylase. ,2010,11
62,rice,Monascus anka,α-amylase,0.225,U/g,216,"Ground, mixed with deionized water, autoclaved, starch was gelatinized to form the culture plate.",None,OFAT,Inoculum (1E2 spores/plate) ; T°=35°C for 168h ; then 25°C for 48h.,Experience realised on a solid-state plate. The enzyme produced have different temperature optimum. Reducing the T° during the last 48h permits to improve the α-amylase production without reducing the amount of glucoamylase. ,2010,11
63,rice bran,Co-culture (Penicillium oxalicum SAUe-3.510 ; Pleurotus ostreatus MTCC 1804),xylanase,2430,U/g,NA,"Milled, washed, delignified (soaked in 2 N NaOH for 24h + steamed for 1h), dried (85-90°C).","Solution added to reach predefined MC: 0,7% KH2PO4 ;  0,2% K2HPO4 ; 0,05% MgSO4 7H2O ; 0,1% (NH4)2SO4 ; 0,06% YE ; 0,0001% ZnSO4 ; 0,00005% FeSO4 ;  0,005% MnSO4.",OFAT,MC=70% ; Inoculum (P. ostreatus at 0h then P. oxalicum at 48h ; 3 fungal discs ∅8mm each) ; T°=30°C.,Yield values are approximate.,2011,12
63,rice bran,Co-culture (Penicillium oxalicum SAUe-3.510 ; Pleurotus ostreatus MTCC 1804),laccase,30,U/g,NA,"Milled, washed, delignified (soaked in 2 N NaOH for 24h + steamed for 1h), dried (85-90°C).","Solution added to reach predefined MC: 0,7% KH2PO4 ;  0,2% K2HPO4 ; 0,05% MgSO4 7H2O ; 0,1% (NH4)2SO4 ; 0,06% YE ; 0,0001% ZnSO4 ; 0,00005% FeSO4 ;  0,005% MnSO4.",OFAT,MC=70% ; Inoculum (P. ostreatus at 0h then P. oxalicum at 48h ; 3 fungal discs ∅8mm each) ; T°=30°C.,Yield values are approximate.,2011,12
64,wheat bran,Co-culture (Penicillium oxalicum SAUe-3.510 ; Pleurotus ostreatus MTCC 1804),xylanase,6542.94,U/g,NA,"Milled, washed, delignified (soaked in 2 N NaOH for 24h + steamed for 1h), dried (85-90°C).","Solution added to reach predefined MC: 0,7% KH2PO4 ;  0,2% K2HPO4 ; 0,05% MgSO4 7H2O ; 0,1% (NH4)2SO4 ; 0,06% YE ; 0,0001% ZnSO4 ; 0,00005% FeSO4 ;  0,005% MnSO4.",OFAT,MC=70% ; Inoculum (P. ostreatus at 0h then P. oxalicum at 48h ; 3 fungal discs ∅8mm each) ; T°=30°C.,Laccase yield value is approximate.,2011,12
64,wheat bran,Co-culture (Penicillium oxalicum SAUe-3.510 ; Pleurotus ostreatus MTCC 1804),laccase,285,U/g,NA,"Milled, washed, delignified (soaked in 2 N NaOH for 24h + steamed for 1h), dried (85-90°C).","Solution added to reach predefined MC: 0,7% KH2PO4 ;  0,2% K2HPO4 ; 0,05% MgSO4 7H2O ; 0,1% (NH4)2SO4 ; 0,06% YE ; 0,0001% ZnSO4 ; 0,00005% FeSO4 ;  0,005% MnSO4.",OFAT,MC=70% ; Inoculum (P. ostreatus at 0h then P. oxalicum at 48h ; 3 fungal discs ∅8mm each) ; T°=30°C.,Laccase yield value is approximate.,2011,12
65,mixture (wheat bran ; sugarcane bagasse),Co-culture (Penicillium oxalicum SAUe-3.510 ; Pleurotus ostreatus MTCC 1804),xylanase,5670,U/g,NA,"Milled, washed, delignified (soaked in 2 N NaOH for 24h + steamed for 1h), dried (85-90°C).","Solution added to reach predefined MC: 0,7% KH2PO4 ;  0,2% K2HPO4 ; 0,05% MgSO4 7H2O ; 0,1% (NH4)2SO4 ; 0,06% YE ; 0,0001% ZnSO4 ; 0,00005% FeSO4 ;  0,005% MnSO4.",OFAT,MC=70% ; Inoculum (P. ostreatus at 0h then P. oxalicum at 48h ; 3 fungal discs ∅8mm each) ; T°=30°C.,Substrate proportions (w/w): 1:1. This mixture presented lower results than wheat bran alone (xp64). The best results were obtained for a mixture of sugarcane bagasse and black gram husk.,2011,12
65,mixture (wheat bran ; sugarcane bagasse),Co-culture (Penicillium oxalicum SAUe-3.510 ; Pleurotus ostreatus MTCC 1804),laccase,250,U/g,NA,"Milled, washed, delignified (soaked in 2 N NaOH for 24h + steamed for 1h), dried (85-90°C).","Solution added to reach predefined MC: 0,7% KH2PO4 ;  0,2% K2HPO4 ; 0,05% MgSO4 7H2O ; 0,1% (NH4)2SO4 ; 0,06% YE ; 0,0001% ZnSO4 ; 0,00005% FeSO4 ;  0,005% MnSO4.",OFAT,MC=70% ; Inoculum (P. ostreatus at 0h then P. oxalicum at 48h ; 3 fungal discs ∅8mm each) ; T°=30°C.,Substrate proportions (w/w): 1:1. This mixture presented lower results than wheat bran alone (xp64). The best results were obtained for a mixture of sugarcane bagasse and black gram husk.,2011,12
66,mixture (wheat bran ; sphagnum peat),Trichoderma reesei RutC30,FPase,8,nmol [Glu]/ml/min],240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,Inoculum (1ml ; 5E6 spores/ml) ; T°=25°C.,"Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate.",2014,13
66,mixture (wheat bran ; sphagnum peat),Trichoderma reesei RutC31,avicelase,0.62,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,Inoculum (1ml ; 5E6 spores/ml) ; T°=25°C.,"Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate.",2014,13
66,mixture (wheat bran ; sphagnum peat),Trichoderma reesei RutC32,CMCase,13,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,Inoculum (1ml ; 5E6 spores/ml) ; T°=25°C.,"Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate.",2014,13
66,mixture (wheat bran ; sphagnum peat),Trichoderma reesei RutC33,β-glucosidase,0,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,Inoculum (1ml ; 5E6 spores/ml) ; T°=25°C.,"Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate.",2014,13
67,mixture (wheat bran ; sphagnum peat),Aspergillus saccharolyticus AP,FPase,3.8,nmol [Glu]/ml/min],240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,Inoculum (1ml ; 5E6 spores/ml) ; T°=25°C.,"Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate.",2014,13
67,mixture (wheat bran ; sphagnum peat),Aspergillus saccharolyticus AP,avicelase,1.5,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,Inoculum (1ml ; 5E6 spores/ml) ; T°=25°C.,"Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate.",2014,13
67,mixture (wheat bran ; sphagnum peat),Aspergillus saccharolyticus AP,CMCase,3.5,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,Inoculum (1ml ; 5E6 spores/ml) ; T°=25°C.,"Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate.",2014,13
67,mixture (wheat bran ; sphagnum peat),Aspergillus saccharolyticus AP,β-glucosidase,20.6,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,Inoculum (1ml ; 5E6 spores/ml) ; T°=25°C.,"Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate.",2014,13
68,mixture (wheat bran ; sphagnum peat),Aspergillus carbonarius ITEM 5010,FPase,2.2,nmol [Glu]/ml/min],240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,Inoculum (1ml ; 5E6 spores/ml) ; T°=25°C.,"Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate.",2014,13
68,mixture (wheat bran ; sphagnum peat),Aspergillus carbonarius ITEM 5010,avicelase,0.8,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,Inoculum (1ml ; 5E6 spores/ml) ; T°=25°C.,"Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate.",2014,13
68,mixture (wheat bran ; sphagnum peat),Aspergillus carbonarius ITEM 5010,CMCase,3,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,Inoculum (1ml ; 5E6 spores/ml) ; T°=25°C.,"Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate.",2014,13
68,mixture (wheat bran ; sphagnum peat),Aspergillus carbonarius ITEM 5010,β-glucosidase,19.3,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,Inoculum (1ml ; 5E6 spores/ml) ; T°=25°C.,"Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate.",2014,13
69,mixture (wheat bran ; sphagnum peat),Aspergillus niger CBS 554.65,FPase,3,nmol [Glu]/ml/min],240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,Inoculum (1ml ; 5E6 spores/ml) ; T°=25°C.,"Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate.",2014,13
69,mixture (wheat bran ; sphagnum peat),Aspergillus niger CBS 554.65,avicelase,1,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,Inoculum (1ml ; 5E6 spores/ml) ; T°=25°C.,"Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate.",2014,13
69,mixture (wheat bran ; sphagnum peat),Aspergillus niger CBS 554.65,CMCase,2.7,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,Inoculum (1ml ; 5E6 spores/ml) ; T°=25°C.,"Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate.",2014,13
69,mixture (wheat bran ; sphagnum peat),Aspergillus niger CBS 554.65,β-glucosidase,9.2,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,Inoculum (1ml ; 5E6 spores/ml) ; T°=25°C.,"Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate.",2014,13
70,mixture (wheat bran ; sphagnum peat),Co-culture (Trichoderma reesei RutC30 ; Aspergillus saccharolyticus AP),FPase,8.2,nmol [Glu]/ml/min],240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,"Inoculum (T. reesei at 0h then A. saccharolyticus at 48h ; 1ml ; 2,5E6 spores/ml each) ; T°=25°C.","Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate. β-glucosidase yield value was almost doubled when the two fungi were inoculated at t=0h. ",2014,13
70,mixture (wheat bran ; sphagnum peat),Co-culture (Trichoderma reesei RutC30 ; Aspergillus saccharolyticus AP),avicelase,0.81,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,"Inoculum (T. reesei at 0h then A. saccharolyticus at 48h ; 1ml ; 2,5E6 spores/ml each) ; T°=25°C.","Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate. β-glucosidase yield value was almost doubled when the two fungi were inoculated at t=0h. ",2014,13
70,mixture (wheat bran ; sphagnum peat),Co-culture (Trichoderma reesei RutC30 ; Aspergillus saccharolyticus AP),CMCase,11,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,"Inoculum (T. reesei at 0h then A. saccharolyticus at 48h ; 1ml ; 2,5E6 spores/ml each) ; T°=25°C.","Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate. β-glucosidase yield value was almost doubled when the two fungi were inoculated at t=0h. ",2014,13
70,mixture (wheat bran ; sphagnum peat),Co-culture (Trichoderma reesei RutC30 ; Aspergillus saccharolyticus AP),β-glucosidase,9,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,"Inoculum (T. reesei at 0h then A. saccharolyticus at 48h ; 1ml ; 2,5E6 spores/ml each) ; T°=25°C.","Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate. β-glucosidase yield value was almost doubled when the two fungi were inoculated at t=0h. ",2014,13
71,mixture (wheat bran ; sphagnum peat),Co-culture (Trichoderma reesei RutC30 ; Aspergillus carbonarius ITEM 5010),FPase,7.6,nmol [Glu]/ml/min],240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,"Inoculum (T. reesei at 0h then A. carbonarius at 48h ; 1ml ; 2,5E6 spores/ml each) ; T°=25°C.","Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate. β-glucosidase yield value was multiplied by 1,5 when the two fungi were inoculated at t=0h. ",2014,13
71,mixture (wheat bran ; sphagnum peat),Co-culture (Trichoderma reesei RutC30 ; Aspergillus carbonarius ITEM 5010),avicelase,0.59,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,"Inoculum (T. reesei at 0h then A. carbonarius at 48h ; 1ml ; 2,5E6 spores/ml each) ; T°=25°C.","Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate. β-glucosidase yield value was multiplied by 1,5 when the two fungi were inoculated at t=0h. ",2014,13
71,mixture (wheat bran ; sphagnum peat),Co-culture (Trichoderma reesei RutC30 ; Aspergillus carbonarius ITEM 5010),CMCase,8.5,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,"Inoculum (T. reesei at 0h then A. carbonarius at 48h ; 1ml ; 2,5E6 spores/ml each) ; T°=25°C.","Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate. β-glucosidase yield value was multiplied by 1,5 when the two fungi were inoculated at t=0h. ",2014,13
71,mixture (wheat bran ; sphagnum peat),Co-culture (Trichoderma reesei RutC30 ; Aspergillus carbonarius ITEM 5010),β-glucosidase,9.2,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,"Inoculum (T. reesei at 0h then A. carbonarius at 48h ; 1ml ; 2,5E6 spores/ml each) ; T°=25°C.","Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate. β-glucosidase yield value was multiplied by 1,5 when the two fungi were inoculated at t=0h. ",2014,13
72,mixture (wheat bran ; sphagnum peat),Co-culture (Trichoderma reesei RutC30 ; Aspergillus niger CBS 554.65),FPase,8,nmol [Glu]/ml/min],240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,"Inoculum (T. reesei at 0h then A. niger at 48h ; 1ml ; 2,5E6 spores/ml each) ; T°=25°C.","Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate.",2014,13
72,mixture (wheat bran ; sphagnum peat),Co-culture (Trichoderma reesei RutC30 ; Aspergillus niger CBS 554.65),avicelase,0.6,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,"Inoculum (T. reesei at 0h then A. niger at 48h ; 1ml ; 2,5E6 spores/ml each) ; T°=25°C.","Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate.",2014,13
72,mixture (wheat bran ; sphagnum peat),Co-culture (Trichoderma reesei RutC30 ; Aspergillus niger CBS 554.65),CMCase,9.5,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,"Inoculum (T. reesei at 0h then A. niger at 48h ; 1ml ; 2,5E6 spores/ml each) ; T°=25°C.","Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate.",2014,13
72,mixture (wheat bran ; sphagnum peat),Co-culture (Trichoderma reesei RutC30 ; Aspergillus niger CBS 554.65),β-glucosidase,14.4,U/mL,240,"Mixed with 59% (w/v) ultrapure water, autoclaved (1h ; 121°C) twice.",None,None,"Inoculum (T. reesei at 0h then A. niger at 48h ; 1ml ; 2,5E6 spores/ml each) ; T°=25°C.","Substrate proportions (w/v): 25,6% WB ; 15,4% SP. Yield values are approximate.",2014,13
73,mixture (wheat bran ; wheat straw),Aspergillus niger NH3,FPase,31.48,U/g,168,Sterilised (20mn ; 121°C).,"for 3gs, 30 ml of Reese's minimal medium (g/L) : 2 KH2PO4 ; 1,4 (NH4)2SO4 ; 0,3 MgSO4.7H2O ; 0,3 CaCl2.2H2O ; 0,005 FeSO4.7H2O ; 0,0016 MnSO4.2H2O ; 0,0014 ZnSO4.7H2O ; 0,002 CoCl2.6H2O ; 1% α-cellulose.","{3,2} simplex centroid experimental design for optimisation of the substrate. OFAT for  other parameters.","pH=4,8±0,2 ; Inoculum (3mg fresh weight of mycelium) ;T°=30°C.","Substrate proportions (w/w): 1,64WB:1,36WS. The study highlights the ability of this A. niger NH3 to produce high amount of holocellulolytic enzymes at low T° (15°C and 5°C). This property is interesting to reduce the energy cost of enzyme production and saccharification.",2015,14
73,mixture (wheat bran ; wheat straw),Aspergillus niger NH3,xylanase,1951.63,U/g,168,Sterilised (20mn ; 121°C).,"for 3gs, 30 ml of Reese's minimal medium (g/L) : 2 KH2PO4 ; 1,4 (NH4)2SO4 ; 0,3 MgSO4.7H2O ; 0,3 CaCl2.2H2O ; 0,005 FeSO4.7H2O ; 0,0016 MnSO4.2H2O ; 0,0014 ZnSO4.7H2O ; 0,002 CoCl2.6H2O ; 1% α-cellulose.","{3,2} simplex centroid experimental design for optimisation of the substrate. OFAT for  other parameters.","pH=4,8±0,2 ; Inoculum (3mg fresh weight of mycelium) ;T°=30°C.","Substrate proportions (w/w): 1,64WB:1,36WS. The study highlights the ability of this A. niger NH3 to produce high amount of holocellulolytic enzymes at low T° (15°C and 5°C). This property is interesting to reduce the energy cost of enzyme production and saccharification.",2015,14
73,mixture (wheat bran ; wheat straw),Aspergillus niger NH3,CMCase,655.94,U/g,168,Sterilised (20mn ; 121°C).,"for 3gs, 30 ml of Reese's minimal medium (g/L) : 2 KH2PO4 ; 1,4 (NH4)2SO4 ; 0,3 MgSO4.7H2O ; 0,3 CaCl2.2H2O ; 0,005 FeSO4.7H2O ; 0,0016 MnSO4.2H2O ; 0,0014 ZnSO4.7H2O ; 0,002 CoCl2.6H2O ; 1% α-cellulose.","{3,2} simplex centroid experimental design for optimisation of the substrate. OFAT for  other parameters.","pH=4,8±0,2 ; Inoculum (3mg fresh weight of mycelium) ;T°=30°C.","Substrate proportions (w/w): 1,64WB:1,36WS. The study highlights the ability of this A. niger NH3 to produce high amount of holocellulolytic enzymes at low T° (15°C and 5°C). This property is interesting to reduce the energy cost of enzyme production and saccharification.",2015,14
73,mixture (wheat bran ; wheat straw),Aspergillus niger NH3,β-glucosidase,540.57,U/g,168,Sterilised (20mn ; 121°C).,"for 3gs, 30 ml of Reese's minimal medium (g/L) : 2 KH2PO4 ; 1,4 (NH4)2SO4 ; 0,3 MgSO4.7H2O ; 0,3 CaCl2.2H2O ; 0,005 FeSO4.7H2O ; 0,0016 MnSO4.2H2O ; 0,0014 ZnSO4.7H2O ; 0,002 CoCl2.6H2O ; 1% α-cellulose.","{3,2} simplex centroid experimental design for optimisation of the substrate. OFAT for  other parameters.","pH=4,8±0,2 ; Inoculum (3mg fresh weight of mycelium) ;T°=30°C.","Substrate proportions (w/w): 1,64WB:1,36WS. The study highlights the ability of this A. niger NH3 to produce high amount of holocellulolytic enzymes at low T° (15°C and 5°C). This property is interesting to reduce the energy cost of enzyme production and saccharification.",2015,14
